Kaupunginosa,Huoneisto,Talotyyppi,Neliömäärä,Velaton hinta,Euroa per neliö,Rakennusvuosi,Kerros,Hissi,Kunto,Energialuokka
Niemenranta,"1h, kt",kt,"24,00",112000,4667,2017,3/7,on,hyvä,"C,2013"
Ranta-tampella,"1-2h, kt",kt,"38,00",215200,5663,2019,3/8,ei, ,"C,2018"
Viinikka,"1h, k, kph/wc",kt,"24,00",72000,3000,1926,2/2,ei,tyyd.,
Keskusta,"1h, kt, kph, parvi",kt,"20,00",135000,6750,1936,5/7,on,hyvä,"F,2013"
Tasanne,"1h, kk, psh, s,...",kt,"24,50",128990,5265,2018,2/2,ei,hyvä,A
Ristinarkku,"1h,kt",kt,"28,00",140300,5011,2019,6/7,on,hyvä,"C,2013"
Ristinarkku,"1h,kt",kt,"28,00",140300,5011,2019,6/7,on,hyvä,"C,2013"
Nekala,"1h,k",kt,"38,00",75000,1974,1945,2/2,ei,tyyd.,"D,2007"
Santalahti,1h+parvi+kt+kph...,kt,"33,50",199900,5967,2019,2/7,on,hyvä,C
Pyynikki,"1h, k, askartel...",kt,"75,00",210000,2800,1926,1/2,ei,hyvä,"G,2013"
Hatanpää,1H+ALK+KT,kt,"28,50",156600,5495,2019,2/7,on,hyvä,"C,2018"
Armonkallio,"1h, k, kph/wc",kt,"29,00",121000,4172,1960,3/3,ei,hyvä,
Kaakinmaa,Autohalli,kt,"13,00",30000,2308,2018,-1/10,on,hyvä,C
Vuores,"1h, kt, kph, pa...",kt,"25,50",116000,4549,2016,5/5,on,hyvä,
Tesoma,1h+kt+lasitettu...,kt,"21,00",101000,4810,2018,5/6,on, ,"C,2018"
Keskusta,"1h,kk,kph,vh",kt,"25,00",118000,4720,1973,4/7,on, ,"G,2013"
Lentävänniemi,1h+avok+p,kt,"27,50",118990,4327,2018,2/6,on,hyvä,
Vuores,tupak. + s,kt,"29,50",102500,3475,2016,4/5,on,hyvä,
Hämeenpuisto,"1h, kk, kph",kt,"34,00",173500,5103,1962,4/7,on,tyyd.,"C,2007"
Rantaperkiö,"1h,k",kt,"32,00",87000,2719,1961,1/2,ei,tyyd.,"D,2018"
Hyhky,"1h, kk, s",kt,"35,00",105000,3000,1986,1/2,ei,hyvä,"F,2013"
Vuores,1h+kt+lasitettu...,kt,"22,00",96900,4405,2018,1/5,on,hyvä,
Peltolammi,"Oh, alkovi, kt,...",kt,"29,50",119400,4047,2019,2/6,on,hyvä,
Hervanta,"1h, kt, kph, la...",kt,"25,50",106900,4192,2018,6/8,on,hyvä,C
Hervanta,"1h, kt, kph, la...",kt,"25,50",107900,4231,2018,7/8,on,hyvä,C
Hervanta,1h+kt+kph+lasit...,kt,"25,50",119900,4702,2019,7/8,on,hyvä,
Kaleva,"1 h, kk, kh",kt,"28,00",135000,4821,1954,3/4,ei,hyvä,"D,2007"
Pyynikki,"1h, kt, vh, rp",kt,"32,00",191000,5969,2018,5/8,on,hyvä,C
Lentävänniemi,1h+kt,kt,"25,00",118900,4756,2018,7/8,on,hyvä,C
Lentävänniemi,1h+kt,kt,"29,00",131920,4549,2019,6/6,on,hyvä,
Keskusta,"1h+kk, kph/wc, ...",kt,"32,50",175000,5385,1961,7/11,on,hyvä,"F,2013"
Amuri,"1h,kt,kph,alkovi",kt,"49,00",150000,3061,1928,2/5,ei,hyvä,"F,2013"
Linnainmaa,"1h, k",kt,"27,50",124500,4527,2018,6/7,on,hyvä,
Linnainmaa,"1h, kk, kph, s,...",kt,"32,00",75000,2344,1985,3/3,ei,hyvä,
Hämeenpuisto,"1h, kk, alkovi,...",kt,"32,50",131000,4031,1955,2/6,on,hyvä,"F,2013"
Hervanta,"1h, kt, kph, la...",kt,"25,50",116900,4584,2019,4/8,on,hyvä,
Tesoma,1h+kt+lasitettu...,kt,"28,00",111500,3982,2018,3/6,on,hyvä,"C,2018"
